Date,Close,High,Low,Open,Volume,MA,STD,Zscore,Signal,Position
2020-12-01,455.2962036132813,455.2962036132813,449.2565600959622,454.8316156504105,37018651,441.7534881591797,16.4369092314147,0.8239210464348349,0,0.0
2020-12-02,463.6588134765625,464.5879894554735,458.5483455925523,464.123401466018,50621339,444.02996826171875,16.143040393035875,1.2159323607535328,-1,0.0
2020-12-03,461.8004455566406,464.1233854236257,459.9420936630525,464.1233854236257,35651379,446.1670715332031,15.4787167136884,1.0099916105843803,-1,-1.0
2020-12-04,467.3755187988281,469.2338707622429,462.26505089943737,463.1942268811448,51172005,448.51323852539065,14.922034740186565,1.2640555126600415,-1,-1.0
2020-12-07,477.5964660644531,478.5256420684696,470.1630580323216,475.7381140564202,44271244,451.0917037963867,15.283145269956822,1.7342478789473228,-1,-1.0
2020-12-08,486.88818359375,487.8173595166388,472.9505447504175,477.59642436486166,40771761,454.4831939697266,15.326492519687225,2.114312167796936,-1,-1.0
2020-12-09,483.1715087890625,486.88821270282455,483.1715087890625,484.100684767503,43314115,457.4100997924805,14.90990359977882,1.7278052017025902,-1,-1.0
2020-12-10,475.7380676269531,478.5255953669548,473.8797158002853,474.8088917136192,42556926,459.9188720703125,13.415570456074969,1.1791668202582646,-1,-1.0
2020-12-11,479.4548034667969,480.3839794425077,469.2338677339776,480.3839794425077,45660960,462.4276489257812,12.001230273891242,1.4187840873329745,-1,-1.0
2020-12-14,472.0213928222656,476.6672726728785,472.0213928222656,475.7380967027559,30260485,463.54265747070315,11.792689053956225,0.7189823553193765,0,-1.0
2020-12-15,468.30462646484375,473.8796815418062,468.30462646484375,471.092154003325,39852366,464.40214385986326,11.460999337482404,0.34050107587195233,0,0.0
2020-12-16,475.7380676269531,478.5255953669548,471.09218806028366,472.95053988695145,52012348,465.0990249633789,11.715390414244343,0.9081253195487691,0,0.0
2020-12-17,474.3375549316406,480.873702342116,474.3375549316406,480.873702342116,38215179,466.05109252929685,11.650352502361333,0.7112628051953145,0,0.0
