Price,Close,High,Low,Open,Volume
Ticker,GOLD,GOLD,GOLD,GOLD,GOLD
Date,,,,,
2021-06-08,20.880496978759766,21.241750894116603,20.880496978759766,21.088217764765627,10678600
2021-06-09,20.781150817871094,21.07015394058588,20.781150817871094,20.862433161458938,10446300
2021-06-10,21.41334342956543,21.43140655429674,20.708898790988286,20.790181129684786,13176400
2021-06-11,20.97983741760254,21.36818596129084,20.970805855819755,21.323029874971198,10951900
2021-06-14,20.90758514404297,21.00693059392285,20.50117522857774,20.66373816120734,13119100
2021-06-15,20.58245849609375,20.916617660340584,20.564395373000888,20.916617660340584,11167000
2021-06-16,20.275392532348633,20.898554783033315,20.26636097069598,20.618583262178127,21393900
2021-06-17,18.992938995361328,19.760602744197243,18.965844311924684,19.679322139075616,37068400
2021-06-18,18.740060806274414,19.173565413912616,18.73102924495768,19.074221684616894,30229400
2021-06-21,19.101314544677734,19.20969155730965,18.78521679064501,18.911656925814604,15733900
2021-06-22,19.038095474243164,19.218723255720565,18.947781583504465,19.029063912909876,12925300
2021-06-23,18.92972183227539,19.28194589662901,18.911660428986213,19.24581964486167,10329300
2021-06-24,18.93875503540039,19.119382864691318,18.893598939374982,19.020037386321842,10546000
2021-06-25,18.866500854492188,19.182598637594246,18.812313204490057,19.137442549691524,11269700
2021-06-28,18.69490623474121,19.00197245397577,18.550404687171337,18.893595432001202,12068600
2021-06-29,18.541370391845703,18.676840357397847,18.32461810244346,18.442024946563564,12433600
2021-06-30,18.676843643188477,18.794250507963806,18.478152717668788,18.694906767798336,10543800
2021-07-01,18.586532592773438,18.911661995228396,18.514281805849517,18.902630431538576,12980100
2021-07-02,18.77619171142578,18.929723124131232,18.595563885451135,18.803284679505747,10718700
2021-07-06,19.227758407592773,19.29097762613699,18.94778512176194,19.065193718425068,20210100
2021-07-07,19.1374454498291,19.336134678343022,18.99294387952905,19.336134678343022,9320000
2021-07-08,18.71296501159668,19.227753640529688,18.577495045074976,19.155501154284423,14453900
2021-07-09,19.083250045776367,19.155500808121893,18.74909091590109,18.785215435776824,10654400
2021-07-12,18.812313079833984,19.209693196603247,18.758125430190915,18.96584618931795,10528100
2021-07-13,19.09228515625,19.444509195443754,18.884564391209054,18.893595953505752,14865200
2021-07-14,19.263877868652344,19.552880918870297,19.14647102547407,19.54384935822673,13168200
2021-07-15,19.20969009399414,19.281940856046923,18.920687045783005,19.24581461372351,12845400
2021-07-16,18.83940887451172,19.155504951524794,18.70393715854106,19.119380423835196,17418100
2021-07-19,18.55040168762207,18.830373175443782,18.306554719554427,18.631682287717236,20149400
2021-07-20,18.71296501159668,19.02003118776272,18.55943192351366,18.667808930287475,16237100
2021-07-21,18.875532150268555,18.974877609366036,18.541372970276807,18.57749749557042,12057400
2021-07-22,18.73103141784668,18.848440005990014,18.532342213612157,18.767157667304442,10176900
2021-07-23,18.631685256958008,18.76715696475886,18.451059184214074,18.6497483810107,10308500
2021-07-26,18.803279876708984,19.01100061770687,18.577496013208453,18.65877834187618,10282500
2021-07-27,18.956817626953125,19.020036848639396,18.676846049801956,18.83941074704928,10501600
2021-07-28,19.27291488647461,19.300009576077247,18.88456628180949,18.938753938420223,11952500
2021-07-29,19.697385787963867,19.85995046195825,19.498696587856482,19.63416657532035,16416200
2021-07-30,19.661258697509766,19.8599478717029,19.498694044718054,19.589007932112796,10184000
2021-08-02,19.48063087463379,19.679321770930592,19.336129344196543,19.670290209954,12234400
2021-08-03,19.61610221862793,19.661260026675176,19.45353927744056,19.462569116455764,10743900
2021-08-04,19.552886962890625,20.139924805430194,19.52579399517923,19.878016356184055,16792000
2021-08-05,19.200660705566406,19.561914556698643,19.15550289755348,19.561914556698643,11553900
2021-08-06,18.785219192504883,18.965846995788244,18.378809219008915,18.74006310298124,29729100
2021-08-09,18.568466186523438,18.812313195305485,18.423964638192075,18.505246974452756,24458900
2021-08-10,17.918209075927734,18.57749760024843,17.918209075927734,18.496215264636913,26957100
2021-08-11,18.342681884765625,18.514278115479396,18.08980504223406,18.125929567198156,15127700
2021-08-12,18.107864379882812,18.270429030181443,17.94530145217828,18.252365908460686,12266000
2021-08-13,18.306556701660156,18.51427744987023,18.180116562345745,18.33364966376063,13115200
2021-08-16,18.23430824279785,18.38784136367192,18.098838247342957,18.162057463715612,15391300
2021-08-17,18.035615921020508,18.279462927638523,17.900145935986384,18.189149030084334,15532400
2021-08-18,17.57501792907715,18.089806667468398,17.51179871276448,18.089806667468398,21364400
2021-08-19,17.276979446411133,17.575014059547954,17.213760244017575,17.502763296441877,19626900
2021-08-20,17.36729621887207,17.52082933132707,16.94282313036441,17.168607017939745,12678700
2021-08-23,18.198179244995117,18.297524697210196,17.448576879194338,17.6833923064155,22050400
2021-08-24,18.17108726501465,18.306557247337786,18.044647121931337,18.297525685503672,12228800
2021-08-25,17.927242279052734,18.035617588059477,17.791772281497067,18.01755618495467,11031100
2021-08-26,17.818862915039062,17.945303055789097,17.70145605855073,17.728549020958823,9865000
2021-08-27,18.27946662902832,18.36978054487008,17.73758485657244,17.809835644726913,14378000
2021-08-30,18.096757888793945,18.498705559184856,18.014541280250484,18.48957018685846,13046800
2021-08-31,18.334272384643555,18.37081387403394,18.115028675483597,18.169839167175056,11990000
